stat_id,match_id,member_id,minutes,goals,assists,pens_made,pens_attempted,shots_attempted,shots_on_target,yellow_cards,red_cards,touches,tackles,interceptions,blocks,xg,xa,passes_attempted,passes_completed,dribbles_attempted,dribbles_completed,crosses,throw_ins,corner_kicks,shots_blocked,passes_blocked,clearances,fouls_committed,fouls_drawn,offsides,pens_won,pens_conceded,own_goals,shot_creating_actions,goal_creating_actions,recoveries,aeriel_duels_won,aeriel_duels_lost,sot_against,goals_against,saves,psxg_against,subbed_in,subbed_off,started
1,1,531,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,52,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,8,3,5,2.7,FALSE,FALSE,TRUE
2,1,530,90,0,0,0,0,0,0,0,0,62,0,1,2,0.0,0.0,56,42,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,6,2,2,NULL,NULL,NULL,NULL,FALSE,FALSE,TRUE
3,1,542,73,0,0,0,0,0,0,0,0,49,4,4,2,0.0,0.0,35,28,1,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,2,1,0,NULL,NULL,NULL,NULL,FALSE,TRUE,TRUE
4,1,548,90,0,0,0,0,0,0,0,0,51,2,0,0,0.0,0.0,46,39,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,NULL,NULL,NULL,NULL,FALSE,FALSE,TRUE
5,1,529,89,0,0,0,0,0,0,0,0,33,0,0,1,0.0,0.0,28,23,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,2,0,NULL,NULL,NULL,NULL,FALSE,TRUE,TRUE
6,1,538,89,0,0,0,0,2,0,0,0,37,2,0,2,0.1,0.0,20,14,3,1,0,0,0,0,2,2,1,0,0,0,0,0,3,0,5,2,3,NULL,NULL,NULL,NULL,FALSE,TRUE,TRUE
7,1,533,90,0,0,0,0,0,0,0,0,31,0,1,2,0.0,0.1,25,20,1,0,0,3,0,1,1,1,1,1,0,0,0,0,2,0,2,0,0,NULL,NULL,NULL,NULL,FALSE,FALSE,TRUE
8,1,537,90,0,0,0,0,0,0,0,0,46,1,0,1,0.0,0.0,43,37,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,5,0,0,NULL,NULL,NULL,NULL,FALSE,FALSE,TRUE
9,1,532,60,0,0,0,0,1,1,0,0,23,1,0,0,0.0,0.0,11,10,4,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,4,1,2,NULL,NULL,NULL,NULL,FALSE,TRUE,TRUE
10,1,545,90,0,0,0,0,0,0,0,0,51,2,1,2,0.0,0.0,38,32,0,0,0,2,0,1,1,4,1,1,0,0,0,0,0,0,4,2,3,NULL,NULL,NULL,NULL,FALSE,FALSE,TRUE
